region,biostep,year,Value
ESC,1,2050,71.84332918
ESC,2,2020,56.57
ESC,2,2025,257.815
ESC,2,2030,459.06
ESC,2,2035,471.2365186
ESC,2,2040,484.6896158
ESC,2,2045,497.911657
ESC,2,2050,510.7696871
ESC,3,2020,607.72
ESC,3,2025,595.535
ESC,3,2030,583.35
ESC,3,2035,598.8232979
ESC,3,2040,615.9188066
ESC,3,2045,632.7207012
ESC,3,2050,649.0600291
ESC,4,2020,186.85
ESC,4,2025,122.65
ESC,4,2030,58.45
ESC,4,2035,60.00038015
ESC,4,2040,61.71330119
ESC,4,2045,63.39680292
ESC,4,2050,65.0339568
ESC,5,2020,71.05
ESC,5,2025,62.31
ESC,5,2030,53.57
ESC,5,2035,54.99093866
ESC,5,2040,56.56084764
ESC,5,2045,58.10379354
ESC,5,2050,59.60426118
ESC,6,2020,50.24
ESC,6,2025,41.33
ESC,6,2030,32.42
ESC,6,2035,33.27993712
ESC,6,2040,34.2300295
ESC,6,2045,35.16380412
ESC,6,2050,36.07187134
ESC,7,2020,168.19
ESC,7,2025,162.815
ESC,7,2030,157.44
ESC,7,2035,161.6160796
ESC,7,2040,166.2299767
ESC,7,2045,170.7646305
ESC,7,2050,175.1744424
ESC,8,2020,18.46
ESC,8,2025,20.24
ESC,8,2030,22.02
ESC,8,2035,22.6040782
ESC,8,2040,23.2493908
ESC,8,2045,23.88362019
ESC,8,2050,24.50038886
ESC,9,2020,8.9
ESC,9,2025,8.46
ESC,9,2030,8.02
ESC,9,2035,8.232729664
ESC,9,2040,8.467761771
ESC,9,2045,8.698757219
ESC,9,2050,8.923393217
ESC,10,2020,18.35
ESC,10,2025,20.93
ESC,10,2030,23.51
ESC,10,2035,24.1336003
ESC,10,2040,24.82257846
ESC,10,2045,25.49972347
ESC,10,2050,26.15822625
ESC,11,2020,22.28
ESC,11,2025,25.475
ESC,11,2030,28.67
ESC,11,2035,29.43046876
ESC,11,2040,30.27066459
ESC,11,2045,31.09643011
ESC,11,2050,31.89946179
ESC,12,2020,30.27
ESC,12,2025,17.065
ESC,12,2030,3.86
ESC,12,2035,3.962386097
ESC,12,2040,4.075506289
ESC,12,2045,4.186683649
ESC,12,2050,4.294800227
ESC,13,2020,37.1
ESC,13,2025,36.865
ESC,13,2030,36.63
ESC,13,2035,37.60160693
ESC,13,2040,38.67507652
ESC,13,2045,39.73010934
ESC,13,2050,40.75609645
ESC,14,2020,56.19
ESC,14,2025,73.025
ESC,14,2030,89.86
ESC,14,2035,92.24352713
ESC,14,2040,94.87694174
ESC,14,2045,97.46512764
ESC,14,2050,99.98205917
ESC,15,2020,33.61
ESC,15,2025,34.295
ESC,15,2030,34.98
ESC,15,2035,35.90784085
ESC,15,2040,36.93295596
ESC,15,2045,37.94046478
ESC,15,2050,38.92023625
ESC,16,2020,34.17
ESC,16,2025,40.535
ESC,16,2030,46.9
ESC,16,2035,48.14401761
ESC,16,2040,49.51845724
ESC,16,2045,50.86929097
ESC,16,2050,52.1829354
ESC,17,2020,20.05
ESC,17,2025,31.61
ESC,17,2030,43.17
ESC,17,2035,44.31507975
ESC,17,2040,45.58020894
ESC,17,2045,46.82360962
ESC,17,2050,48.0327787
TX,1,2020,0.346153846
TX,1,2025,0.346153846
TX,1,2030,0.346153846
TX,1,2035,0.355335541
TX,1,2040,0.365479839
TX,1,2045,0.375449909
TX,1,2050,0.385145497
TX,2,2020,0.370192308
TX,2,2025,0.403846154
TX,2,2030,0.4375
TX,2,2035,0.449104642
TX,2,2040,0.461925907
TX,2,2045,0.474526968
TX,2,2050,0.486781114
TX,3,2020,0.349358974
TX,3,2025,5.411057692
TX,3,2030,10.47275641
TX,3,2035,10.75054518
TX,3,2040,11.05745715
TX,3,2045,11.35909793
TX,3,2050,11.65243435
TX,4,2020,7.796474359
TX,4,2025,4.053685897
TX,4,2030,0.310897436
TX,4,2035,0.319143958
TX,4,2040,0.32825504
TX,4,2045,0.33720964
TX,4,2050,0.345917715
TX,5,2020,1.940705128
TX,5,2025,1.179487179
TX,5,2030,0.418269231
TX,5,2035,0.429363778
TX,5,2040,0.441621472
TX,5,2045,0.45366864
TX,5,2050,0.465384142
TX,6,2020,0.072115385
TX,6,2025,0.072115385
TX,6,2030,0.072115385
TX,6,2035,0.074028238
TX,6,2040,0.076141633
TX,6,2045,0.078218731
TX,6,2050,0.080238645
TX,7,2020,0.028846154
TX,7,2025,0.056089744
TX,7,2030,0.083333333
TX,7,2035,0.085543741
TX,7,2040,0.087985887
TX,7,2045,0.090386089
TX,7,2050,0.092720212
TX,8,2020,3.878205128
TX,8,2025,3.878205128
TX,8,2030,3.878205128
TX,8,2035,3.981074115
TX,8,2040,4.094727821
TX,8,2045,4.206429533
TX,8,2050,4.315056027
TX,9,2020,4.556089744
TX,9,2025,4.556089744
TX,9,2030,4.556089744
TX,9,2035,4.676939549
TX,9,2040,4.810459172
TX,9,2045,4.941685604
TX,9,2050,5.069299291
TX,10,2020,2.302884615
TX,10,2025,2.290064103
TX,10,2030,2.27724359
TX,10,2035,2.337647238
TX,10,2040,2.404383568
TX,10,2045,2.469973705
TX,10,2050,2.533758105
TX,11,2025,0.012019231
TX,11,2030,0.024038462
TX,11,2035,0.024676079
TX,11,2040,0.025380544
TX,11,2045,0.02607291
TX,11,2050,0.026746215
TX,12,2020,0.016025641
TX,12,2025,0.008012821
TX,13,2025,0.006410256
TX,13,2030,0.012820513
TX,13,2035,0.013160576
TX,13,2040,0.01353629
TX,13,2045,0.013905552
TX,13,2050,0.014264648
TX,14,2025,0.026442308
TX,14,2030,0.052884615
TX,14,2035,0.054287374
TX,14,2040,0.055837198
TX,14,2045,0.057360403
TX,14,2050,0.058841673
TX,16,2020,0.017628205
TX,16,2025,0.008814103
WSC,1,2020,1.813846154
WSC,1,2025,1.813846154
WSC,1,2030,1.813846154
WSC,1,2035,1.861958234
WSC,1,2040,1.915114354
WSC,1,2045,1.967357522
WSC,1,2050,2.018162402
WSC,2,2020,1.939807692
WSC,2,2025,2.116153846
WSC,2,2030,2.2925
WSC,2,2035,2.353308323
WSC,2,2040,2.420491753
WSC,2,2045,2.486521312
WSC,2,2050,2.550733036
WSC,3,2020,1.830641026
WSC,3,2025,28.35394231
WSC,3,2030,54.87724359
WSC,3,2035,56.33285675
WSC,3,2040,57.94107548
WSC,3,2045,59.52167317
WSC,3,2050,61.05875602
WSC,4,2020,40.85352564
WSC,4,2025,21.2413141
WSC,4,2030,1.629102564
WSC,4,2035,1.67231434
WSC,4,2040,1.720056411
WSC,4,2045,1.766978515
WSC,4,2050,1.812608824
WSC,5,2020,10.16929487
WSC,5,2025,6.180512821
WSC,5,2030,2.191730769
WSC,5,2035,2.249866199
