region,destination,load_segment,time
NEG,MID,wntr_day,2025,0.00
NEG,MID,wntr_day,2030,0.00
NEG,MID,wntr_day,2035,0.00
NEG,MID,wntr_day,2040,0.00
NEG,MID,wntr_day,2045,0.00
NEG,MID,wntr_day,2050,0.00
NEG,MID,wntr_day,2075,0.00
NEG,MID,wntr_mrnevn,2010,0.00
NEG,MID,wntr_mrnevn,2015,0.00
NEG,MID,wntr_mrnevn,2020,0.00
NEG,MID,wntr_mrnevn,2025,0.00
NEG,MID,wntr_mrnevn,2030,0.00
NEG,MID,wntr_mrnevn,2035,0.00
NEG,MID,wntr_mrnevn,2040,0.00
NEG,MID,wntr_mrnevn,2045,0.00
NEG,MID,wntr_mrnevn,2050,0.00
NEG,MID,wntr_mrnevn,2075,0.00
NEG,MID,wntr_night,2010,0.00
NEG,MID,wntr_night,2015,0.00
NEG,MID,wntr_night,2020,0.00
NEG,MID,wntr_night,2025,0.00
NEG,MID,wntr_night,2030,0.00
NEG,MID,wntr_night,2035,0.00
NEG,MID,wntr_night,2040,0.00
NEG,MID,wntr_night,2045,0.00
NEG,MID,wntr_night,2050,0.00
NEG,MID,wntr_night,2075,0.00
NEG,MID,peak,2010,0.00
NEG,MID,peak,2015,0.00
NEG,MID,peak,2020,0.00
NEG,MID,peak,2025,0.00
NEG,MID,peak,2030,0.00
NEG,MID,peak,2035,0.00
NEG,MID,peak,2040,0.00
NEG,MID,peak,2045,0.00
NEG,MID,peak,2050,0.00
NEG,MID,peak,2075,0.00
NEG,ENC,sum_day,2010,0.00
NEG,ENC,sum_day,2015,0.00
NEG,ENC,sum_day,2020,0.00
NEG,ENC,sum_day,2025,0.00
NEG,ENC,sum_day,2030,0.00
NEG,ENC,sum_day,2035,0.00
NEG,ENC,sum_day,2040,0.00
NEG,ENC,sum_day,2045,0.00
NEG,ENC,sum_day,2050,0.00
NEG,ENC,sum_day,2075,0.00
NEG,ENC,sum_mrnevn,2010,0.00
NEG,ENC,sum_mrnevn,2015,0.00
NEG,ENC,sum_mrnevn,2020,0.00
NEG,ENC,sum_mrnevn,2025,0.00
NEG,ENC,sum_mrnevn,2030,0.00
NEG,ENC,sum_mrnevn,2035,0.00
NEG,ENC,sum_mrnevn,2040,0.00
NEG,ENC,sum_mrnevn,2045,0.00
NEG,ENC,sum_mrnevn,2050,0.00
NEG,ENC,sum_mrnevn,2075,0.00
NEG,ENC,sum_night,2010,0.00
NEG,ENC,sum_night,2015,0.00
NEG,ENC,sum_night,2020,0.00
NEG,ENC,sum_night,2025,0.00
NEG,ENC,sum_night,2030,0.00
NEG,ENC,sum_night,2035,0.00
NEG,ENC,sum_night,2040,0.00
NEG,ENC,sum_night,2045,0.00
NEG,ENC,sum_night,2050,0.00
NEG,ENC,sum_night,2075,0.00
NEG,ENC,sprfl_day,2010,0.00
NEG,ENC,sprfl_day,2015,0.00
NEG,ENC,sprfl_day,2020,0.00
NEG,ENC,sprfl_day,2025,0.00
NEG,ENC,sprfl_day,2030,0.00
NEG,ENC,sprfl_day,2035,0.00
NEG,ENC,sprfl_day,2040,0.00
NEG,ENC,sprfl_day,2045,0.00
NEG,ENC,sprfl_day,2050,0.00
NEG,ENC,sprfl_day,2075,0.00
NEG,ENC,sprfl_mrnevn,2010,0.00
NEG,ENC,sprfl_mrnevn,2015,0.00
NEG,ENC,sprfl_mrnevn,2020,0.00
NEG,ENC,sprfl_mrnevn,2025,0.00
NEG,ENC,sprfl_mrnevn,2030,0.00
NEG,ENC,sprfl_mrnevn,2035,0.00
NEG,ENC,sprfl_mrnevn,2040,0.00
NEG,ENC,sprfl_mrnevn,2045,0.00
NEG,ENC,sprfl_mrnevn,2050,0.00
NEG,ENC,sprfl_mrnevn,2075,0.00
NEG,ENC,sprfl_night,2010,0.00
NEG,ENC,sprfl_night,2015,0.00
NEG,ENC,sprfl_night,2020,0.00
NEG,ENC,sprfl_night,2025,0.00
NEG,ENC,sprfl_night,2030,0.00
NEG,ENC,sprfl_night,2035,0.00
NEG,ENC,sprfl_night,2040,0.00
NEG,ENC,sprfl_night,2045,0.00
NEG,ENC,sprfl_night,2050,0.00
NEG,ENC,sprfl_night,2075,0.00
NEG,ENC,wntr_day,2010,0.00
NEG,ENC,wntr_day,2015,0.00
NEG,ENC,wntr_day,2020,0.00
NEG,ENC,wntr_day,2025,0.00
NEG,ENC,wntr_day,2030,0.00
NEG,ENC,wntr_day,2035,0.00
NEG,ENC,wntr_day,2040,0.00
NEG,ENC,wntr_day,2045,0.00
NEG,ENC,wntr_day,2050,0.00
NEG,ENC,wntr_day,2075,0.00
NEG,ENC,wntr_mrnevn,2010,0.00
NEG,ENC,wntr_mrnevn,2015,0.00
NEG,ENC,wntr_mrnevn,2020,0.00
