region,pollutant,time,value
MTN,co2,2050,1.55
MTN,co2,2075,18.08
MTN,so2,2010,0.00
MTN,so2,2015,0.00
MTN,so2,2020,0.00
MTN,so2,2025,0.00
MTN,so2,2030,0.00
MTN,so2,2035,0.00
MTN,so2,2040,0.00
MTN,so2,2045,0.00
MTN,so2,2050,0.00
MTN,so2,2075,0.00
MTN,nox,2010,0.00
MTN,nox,2015,0.00
MTN,nox,2020,0.00
MTN,nox,2025,0.00
MTN,nox,2030,0.00
MTN,nox,2035,0.00
MTN,nox,2040,0.00
MTN,nox,2045,0.00
MTN,nox,2050,0.00
MTN,nox,2075,0.00
MTN,hg,2010,0.00
MTN,hg,2015,0.00
MTN,hg,2020,0.00
MTN,hg,2025,0.00
MTN,hg,2030,0.00
MTN,hg,2035,0.00
MTN,hg,2040,0.00
MTN,hg,2045,0.00
MTN,hg,2050,0.00
MTN,hg,2075,0.00
CA,co2,2010,40.59
CA,co2,2015,36.20
CA,co2,2020,35.15
CA,co2,2025,38.79
CA,co2,2030,33.65
CA,co2,2035,27.09
CA,co2,2040,12.48
CA,co2,2045,4.49
CA,co2,2050,1.45
CA,co2,2075,12.95
CA,so2,2010,0.00
CA,so2,2015,0.00
CA,so2,2020,0.00
CA,so2,2025,0.00
CA,so2,2030,0.00
CA,so2,2035,0.00
CA,so2,2040,0.00
CA,so2,2045,0.00
CA,so2,2050,0.00
CA,so2,2075,0.00
CA,nox,2010,0.00
CA,nox,2015,0.00
CA,nox,2020,0.00
CA,nox,2025,0.00
CA,nox,2030,0.00
CA,nox,2035,0.00
CA,nox,2040,0.00
CA,nox,2045,0.00
CA,nox,2050,0.00
CA,nox,2075,0.00
CA,hg,2010,0.00
CA,hg,2015,0.00
CA,hg,2020,0.00
CA,hg,2025,0.00
CA,hg,2030,0.00
CA,hg,2035,0.00
CA,hg,2040,0.00
CA,hg,2045,0.00
CA,hg,2050,0.00
CA,hg,2075,0.00
PAC,co2,2010,21.23
PAC,co2,2015,20.49
PAC,co2,2020,9.84
PAC,co2,2025,9.88
PAC,co2,2030,9.28
PAC,co2,2035,4.80
PAC,co2,2040,1.64
PAC,co2,2045,0.73
PAC,co2,2050,0.88
PAC,co2,2075,10.61
PAC,so2,2010,0.00
PAC,so2,2015,0.00
PAC,so2,2020,0.00
PAC,so2,2025,0.00
PAC,so2,2030,0.00
PAC,so2,2035,0.00
PAC,so2,2040,0.00
PAC,so2,2045,0.00
PAC,so2,2050,0.00
PAC,so2,2075,0.00
PAC,nox,2010,0.00
PAC,nox,2015,0.00
PAC,nox,2020,0.00
PAC,nox,2025,0.00
PAC,nox,2030,0.00
PAC,nox,2035,0.00
PAC,nox,2040,0.00
PAC,nox,2045,0.00
PAC,nox,2050,0.00
PAC,nox,2075,0.00
PAC,hg,2010,0.00
PAC,hg,2015,0.00
PAC,hg,2020,0.00
PAC,hg,2025,0.00
PAC,hg,2030,0.00
PAC,hg,2035,0.00
PAC,hg,2040,0.00
PAC,hg,2045,0.00
PAC,hg,2050,0.00
PAC,hg,2075,0.00
