region,unit,value
ESC,lfg_N_vl,8.33
ESC,geo_N_1,9.64
ESC,geo_N_2,9.64
ESC,geo_N_3,9.64
ESC,geo_N_4,9.64
ESC,geo_N_5,9.64
ESC,geo_N_6,9.64
ESC,geo_N_7,9.64
ESC,geo_N_8,9.64
ESC,geo_N_9,9.64
ESC,geo_N_10,9.64
ESC,wnd_Nonsh_3,0.00
ESC,wnd_Nonsh_4,0.00
ESC,wnd_Nonsh_5,0.00
ESC,wnd_Nonsh_6,0.00
ESC,wnd_Nonsh_7,0.00
ESC,wnd_Nshal_3,0.00
ESC,wnd_Nshal_4,0.00
ESC,wnd_Nshal_5,0.00
ESC,wnd_Nshal_6,0.00
ESC,wnd_Nshal_7,0.00
ESC,wnd_Ndeep_3,0.00
ESC,wnd_Ndeep_4,0.00
ESC,wnd_Ndeep_5,0.00
ESC,wnd_Ndeep_6,0.00
ESC,wnd_Ndeep_7,0.00
TX,nuc_X,2.56
TX,hyd_X,0.00
TX,geo_X,0.00
TX,bio_X,5.49
TX,lfg_X,0.00
TX,msw_X,0.08
TX,slr_X,0.00
TX,wnd_X,0.00
TX,oth_X,3.33
TX,ps_X,0.00
TX,col_N,6.87
TX,col_Nccs,9.05
TX,ngcc_N,3.11
TX,ngcc_Nccs,6.45
TX,ngtb_N,9.87
TX,nuc_N,2.04
TX,bio_N,5.00
TX,fc_N,49.00
TX,slrPV_N,0.00
TX,slrCSP_N,0.00
TX,col_X1,8.96
TX,col_X2,7.72
TX,col_X3,6.73
TX,col_X1bio,0.00
TX,col_X2bio,0.00
TX,col_X3bio,0.00
TX,col_X1ccs,0.00
TX,col_X2ccs,0.00
TX,col_X3ccs,0.00
TX,ngcc_X1,2.25
TX,ngcc_X2,2.22
TX,ngcc_X3,2.21
TX,ngtb_X1,4.79
TX,ngtb_X2,4.81
TX,ngtb_X3,4.79
TX,stog_X1,0.00
TX,stog_X2,0.00
TX,stog_X3,0.00
TX,lfg_N_hi,8.33
TX,lfg_N_lo,8.33
TX,lfg_N_vl,8.33
TX,geo_N_1,9.64
TX,geo_N_2,9.64
TX,geo_N_3,9.64
TX,geo_N_4,9.64
TX,geo_N_5,9.64
TX,geo_N_6,9.64
TX,geo_N_7,9.64
TX,geo_N_8,9.64
TX,geo_N_9,9.64
TX,geo_N_10,9.64
TX,wnd_Nonsh_3,0.00
TX,wnd_Nonsh_4,0.00
TX,wnd_Nonsh_5,0.00
TX,wnd_Nonsh_6,0.00
TX,wnd_Nonsh_7,0.00
TX,wnd_Nshal_3,0.00
TX,wnd_Nshal_4,0.00
TX,wnd_Nshal_5,0.00
TX,wnd_Nshal_6,0.00
TX,wnd_Nshal_7,0.00
TX,wnd_Ndeep_3,0.00
TX,wnd_Ndeep_4,0.00
TX,wnd_Ndeep_5,0.00
TX,wnd_Ndeep_6,0.00
TX,wnd_Ndeep_7,0.00
WSC,nuc_X,2.56
WSC,hyd_X,0.00
WSC,geo_X,0.00
WSC,bio_X,5.29
WSC,lfg_X,0.00
WSC,msw_X,0.92
WSC,slr_X,0.00
WSC,wnd_X,0.00
WSC,oth_X,3.22
WSC,ps_X,0.00
WSC,col_N,6.87
WSC,col_Nccs,9.05
WSC,ngcc_N,3.11
WSC,ngcc_Nccs,6.45
WSC,ngtb_N,9.87
WSC,nuc_N,2.04
WSC,bio_N,5.00
WSC,fc_N,49.00
WSC,slrPV_N,0.00
WSC,slrCSP_N,0.00
WSC,col_X1,6.25
WSC,col_X2,6.87
WSC,col_X3,5.95
WSC,col_X1bio,0.00
WSC,col_X2bio,0.00
WSC,col_X3bio,0.00
WSC,col_X1ccs,0.00
WSC,col_X2ccs,0.00
WSC,col_X3ccs,0.00
WSC,ngcc_X1,2.25
WSC,ngcc_X2,0.00
WSC,ngcc_X3,2.21
WSC,ngtb_X1,4.76
WSC,ngtb_X2,4.79
WSC,ngtb_X3,4.79
WSC,stog_X1,0.00
WSC,stog_X2,0.00
WSC,stog_X3,0.00
WSC,lfg_N_hi,8.33
WSC,lfg_N_lo,8.33
WSC,lfg_N_vl,8.33
WSC,geo_N_1,9.64
WSC,geo_N_2,9.64
WSC,geo_N_3,9.64
WSC,geo_N_4,9.64
WSC,geo_N_5,9.64
WSC,geo_N_6,9.64
WSC,geo_N_7,9.64
WSC,geo_N_8,9.64
WSC,geo_N_9,9.64
WSC,geo_N_10,9.64
WSC,wnd_Nonsh_3,0.00
WSC,wnd_Nonsh_4,0.00
WSC,wnd_Nonsh_5,0.00
WSC,wnd_Nonsh_6,0.00
WSC,wnd_Nonsh_7,0.00
WSC,wnd_Nshal_3,0.00
WSC,wnd_Nshal_4,0.00
WSC,wnd_Nshal_5,0.00
WSC,wnd_Nshal_6,0.00
WSC,wnd_Nshal_7,0.00
WSC,wnd_Ndeep_3,0.00
WSC,wnd_Ndeep_4,0.00
WSC,wnd_Ndeep_5,0.00
WSC,wnd_Ndeep_6,0.00
WSC,wnd_Ndeep_7,0.00
MTN,nuc_X,2.56
MTN,hyd_X,0.00
MTN,geo_X,0.00
MTN,bio_X,5.27
MTN,lfg_X,0.00
MTN,msw_X,0.00
MTN,slr_X,0.03
MTN,wnd_X,0.00
MTN,oth_X,1.72
MTN,ps_X,0.00
MTN,col_N,6.87
MTN,col_Nccs,9.05
MTN,ngcc_N,3.11
MTN,ngcc_Nccs,6.45
MTN,ngtb_N,9.87
MTN,nuc_N,2.04
MTN,bio_N,5.00
MTN,fc_N,49.00
MTN,slrPV_N,0.00
MTN,slrCSP_N,0.00
MTN,col_X1,6.62
MTN,col_X2,8.53
MTN,col_X3,6.60
MTN,col_X1bio,0.00
MTN,col_X2bio,0.00
MTN,col_X3bio,0.00
MTN,col_X1ccs,0.00
MTN,col_X2ccs,0.00
MTN,col_X3ccs,0.00
MTN,ngcc_X1,2.26
MTN,ngcc_X2,2.29
MTN,ngcc_X3,0.00
MTN,ngtb_X1,4.79
MTN,ngtb_X2,4.79
MTN,ngtb_X3,4.79
MTN,stog_X1,0.00
MTN,stog_X2,0.00
MTN,stog_X3,0.00
MTN,lfg_N_hi,8.33
MTN,lfg_N_lo,8.33
MTN,lfg_N_vl,8.33
MTN,geo_N_1,9.64
MTN,geo_N_2,9.64
MTN,geo_N_3,9.64
MTN,geo_N_4,9.64
MTN,geo_N_5,9.64
MTN,geo_N_6,9.64
MTN,geo_N_7,9.64
MTN,geo_N_8,9.64
MTN,geo_N_9,9.64
MTN,geo_N_10,9.64
MTN,wnd_Nonsh_3,0.00
MTN,wnd_Nonsh_4,0.00
MTN,wnd_Nonsh_5,0.00
MTN,wnd_Nonsh_6,0.00
MTN,wnd_Nonsh_7,0.00
MTN,wnd_Nshal_3,0.00
MTN,wnd_Nshal_4,0.00
MTN,wnd_Nshal_5,0.00
MTN,wnd_Nshal_6,0.00
MTN,wnd_Nshal_7,0.00
MTN,wnd_Ndeep_3,0.00
MTN,wnd_Ndeep_4,0.00
MTN,wnd_Ndeep_5,0.00
MTN,wnd_Ndeep_6,0.00
MTN,wnd_Ndeep_7,0.00
CA,nuc_X,2.56
CA,hyd_X,0.00
CA,geo_X,0.00
CA,bio_X,5.46
CA,lfg_X,0.00
CA,msw_X,2.23
CA,slr_X,0.37
CA,wnd_X,0.00
CA,oth_X,0.14
CA,ps_X,0.00
CA,col_N,6.87
CA,col_Nccs,9.05
CA,ngcc_N,3.11
CA,ngcc_Nccs,6.45
CA,ngtb_N,9.87
CA,nuc_N,2.04
CA,bio_N,5.00
CA,fc_N,49.00
CA,slrPV_N,0.00
CA,slrCSP_N,0.00
CA,col_X1,3.25
CA,col_X2,0.00
CA,col_X3,3.41
CA,col_X1bio,0.00
CA,col_X2bio,0.00
CA,col_X3bio,0.00
CA,col_X1ccs,0.00
CA,col_X2ccs,0.00
CA,col_X3ccs,0.00
CA,ngcc_X1,2.27
CA,ngcc_X2,2.22
CA,ngcc_X3,2.25
CA,ngtb_X1,4.79
CA,ngtb_X2,4.79
CA,ngtb_X3,4.79
CA,stog_X1,0.00
CA,stog_X2,0.00
CA,stog_X3,0.00
CA,lfg_N_hi,8.33
CA,lfg_N_lo,8.33
CA,lfg_N_vl,8.33
CA,geo_N_1,9.64
CA,geo_N_2,9.64
CA,geo_N_3,9.64
CA,geo_N_4,9.64
CA,geo_N_5,9.64
CA,geo_N_6,9.64
CA,geo_N_7,9.64
CA,geo_N_8,9.64
CA,geo_N_9,9.64
CA,geo_N_10,9.64
CA,wnd_Nonsh_3,0.00
CA,wnd_Nonsh_4,0.00
CA,wnd_Nonsh_5,0.00
CA,wnd_Nonsh_6,0.00
CA,wnd_Nonsh_7,0.00
CA,wnd_Nshal_3,0.00
CA,wnd_Nshal_4,0.00
CA,wnd_Nshal_5,0.00
CA,wnd_Nshal_6,0.00
CA,wnd_Nshal_7,0.00
CA,wnd_Ndeep_3,0.00
CA,wnd_Ndeep_4,0.00
CA,wnd_Ndeep_5,0.00
CA,wnd_Ndeep_6,0.00
CA,wnd_Ndeep_7,0.00
PAC,nuc_X,2.56
PAC,hyd_X,0.00
PAC,geo_X,0.00
PAC,bio_X,5.26
PAC,lfg_X,0.00
PAC,msw_X,2.23
PAC,slr_X,0.00
PAC,wnd_X,0.00
PAC,oth_X,3.57
PAC,ps_X,0.00
PAC,col_N,6.87
PAC,col_Nccs,9.05
PAC,ngcc_N,3.11
PAC,ngcc_Nccs,6.45
PAC,ngtb_N,9.87
PAC,nuc_N,2.04
PAC,bio_N,5.00
PAC,fc_N,49.00
PAC,slrPV_N,0.00
PAC,slrCSP_N,0.00
PAC,col_X1,3.24
PAC,col_X2,10.30
PAC,col_X3,5.44
PAC,col_X1bio,0.00
PAC,col_X2bio,0.00
PAC,col_X3bio,0.00
PAC,col_X1ccs,0.00
PAC,col_X2ccs,0.00
PAC,col_X3ccs,0.00
PAC,ngcc_X1,2.27
PAC,ngcc_X2,0.00
PAC,ngcc_X3,0.00
PAC,ngtb_X1,4.79
PAC,ngtb_X2,4.79
PAC,ngtb_X3,4.78
PAC,stog_X1,0.00
PAC,stog_X2,0.00
PAC,stog_X3,0.00
PAC,lfg_N_hi,8.33
PAC,lfg_N_lo,8.33
PAC,lfg_N_vl,8.33
PAC,geo_N_1,9.64
PAC,geo_N_2,9.64
PAC,geo_N_3,9.64
PAC,geo_N_4,9.64
PAC,geo_N_5,9.64
PAC,geo_N_6,9.64
PAC,geo_N_7,9.64
PAC,geo_N_8,9.64
PAC,geo_N_9,9.64
