"region","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"CA","nuc_X","existing","nuc","yes",2020,16.165384,2.55696031408843,41.33424535,2.323,131.239238527766,304.8687511,346.20299645,22.75531441
"CA","oth_X","existing","oth","no",2020,0.87091849,0.135275959292126,0.1178143342,0.3272,1.05084656204156,0.3438369951,0.4616513293,23.0581030707206
"CA","slr_X","existing","slr","yes",2020,28.32424861,0.365946471820634,10.3651588458,12.7087,25.8487754979093,328.50433317028,338.86949201608,22.75531441
"CA","stog_X1","existing","stog","no",2020,0.447818,0,0,1.8258,0,0,0,22.75531441
"CA","stog_X2","existing","stog","no",2020,-0.478433,0,0,1.5442,0,0,0,22.75531441
"CA","wnd_X","existing","wnd","yes",2020,13.730984,0,0,6.1386,47.6538110137914,292.52768428926,292.52768428926,22.75531441
"ENC","bio_X","existing","bio","yes",2020,2.468709792999,5.53333919595446,13.660208661038,0.9976,198.522323596842,198.04587002021,211.706078681248,32.2376965641342
"ENC","col_X1","existing","col","no",2020,60.7456869091197,8.3718551430828,508.554091370211,12.91,97.4270946664555,1257.78379214394,1766.33788351415,32.2622464795372
"ENC","col_X2","existing","col","no",2020,164.843076028057,9.31290907730161,1535.16857907201,47.0265,85.0332521469314,3998.81623208767,5533.98481115968,32.8292140739688
"ENC","col_X3","existing","col","no",2020,6.8789754361649,4.343341467287,29.8777392643437,4.1495,83.4298821779949,346.19229609759,376.070035361934,32.6304720613003
"ENC","hyd_X","existing","hyd","yes",2020,5.07322828,0,0,1.1528,92.6869600548664,106.84952755125,106.84952755125,31.4448498755562
"ENC","msw_X","existing","msw","no",2020,0.3126719890001,1.12424549789098,0.35152007594998,0.8644,4.62426938566751,3.997218456971,4.34873853292098,33.3182008168448
"ENC","ngcc_X1","existing","ngcc","no",2020,131.450274729211,2.2725452204321,298.726693560355,23.4076,12.8267658742622,300.243804878379,598.970498438734,33.9546876367217
"ENC","ngcc_X3","existing","ngcc","no",2020,2.037433999998,2.21329416637026,4.50944078656,0.7698,12.8357669575214,9.8809734039,14.39041419046,34.24542896
"ENC","ngtb_X1","existing","ngtb","no",2020,10.73893862,4.78777456484572,51.4156171782754,9.1872,11.3821244789036,104.569854012583,155.985471190859,33.4419225354407
"ENC","ngtb_X2","existing","ngtb","no",2020,7.046472595,4.79627579498729,33.7968259474398,13.41,12.1830946678987,163.375299496522,197.172125443962,33.8261527387494
"ENC","ngtb_X3","existing","ngtb","no",2020,3.591505853,4.78577947365916,17.1881549908141,13.0174,14.2946101110236,186.078657659238,203.266812650052,34.0801691249663
"ENC","nuc_X","existing","nuc","yes",2020,158.685629,2.55696031434579,405.75285581,20.252,131.239238504839,2657.8570582,3063.60991401,33.8752357450061
"ENC","oth_X","existing","oth","no",2020,0.252534584,3.48907162530143,0.8811112514417,0.4492,2.61663096898486,1.175390631268,2.0565018827097,26.9749186590229
