region,unit,value
ESC,fc_N,5.78
ESC,slrPV_N,16.70
ESC,slrCSP_N,64.00
ESC,col_X1,80.20
ESC,col_X2,97.02
ESC,col_X3,67.51
ESC,col_X1bio,0.00
ESC,col_X2bio,0.00
ESC,col_X3bio,0.00
ESC,col_X1ccs,0.00
ESC,col_X2ccs,0.00
ESC,col_X3ccs,0.00
ESC,ngcc_X1,12.88
ESC,ngcc_X2,20.69
ESC,ngcc_X3,24.75
ESC,ngtb_X1,11.05
ESC,ngtb_X2,10.95
ESC,ngtb_X3,14.38
ESC,stog_X1,0.00
ESC,stog_X2,0.00
ESC,stog_X3,0.00
ESC,lfg_N_hi,373.76
ESC,lfg_N_lo,373.76
ESC,lfg_N_vl,373.76
ESC,geo_N_1,0.00
ESC,geo_N_2,0.00
ESC,geo_N_3,0.00
ESC,geo_N_4,0.00
ESC,geo_N_5,0.00
ESC,geo_N_6,0.00
ESC,geo_N_7,0.00
ESC,geo_N_8,0.00
ESC,geo_N_9,0.00
ESC,geo_N_10,0.00
ESC,wnd_Nonsh_3,28.07
ESC,wnd_Nonsh_4,28.07
ESC,wnd_Nonsh_5,28.07
ESC,wnd_Nonsh_6,28.07
ESC,wnd_Nonsh_7,28.07
ESC,wnd_Nshal_3,53.33
ESC,wnd_Nshal_4,53.33
ESC,wnd_Nshal_5,53.33
ESC,wnd_Nshal_6,53.33
ESC,wnd_Nshal_7,53.33
ESC,wnd_Ndeep_3,53.33
ESC,wnd_Ndeep_4,53.33
ESC,wnd_Ndeep_5,53.33
ESC,wnd_Ndeep_6,53.33
ESC,wnd_Ndeep_7,53.33
TX,nuc_X,131.24
TX,hyd_X,92.69
TX,geo_X,0.00
TX,bio_X,211.07
TX,lfg_X,0.00
TX,msw_X,0.17
TX,slr_X,20.69
TX,wnd_X,47.65
TX,oth_X,23.42
TX,ps_X,0.00
TX,col_N,48.90
TX,col_Nccs,63.21
TX,ngcc_N,14.62
TX,ngcc_Nccs,30.25
TX,ngtb_N,6.70
TX,nuc_N,88.75
TX,bio_N,100.50
TX,fc_N,5.78
TX,slrPV_N,16.70
TX,slrCSP_N,64.00
TX,col_X1,54.41
TX,col_X2,94.52
TX,col_X3,70.37
TX,col_X1bio,0.00
TX,col_X2bio,0.00
TX,col_X3bio,0.00
TX,col_X1ccs,0.00
TX,col_X2ccs,0.00
TX,col_X3ccs,0.00
TX,ngcc_X1,13.42
TX,ngcc_X2,12.69
TX,ngcc_X3,12.67
TX,ngtb_X1,12.42
TX,ngtb_X2,12.26
TX,ngtb_X3,14.61
TX,stog_X1,0.00
TX,stog_X2,0.00
TX,stog_X3,0.00
TX,lfg_N_hi,373.76
TX,lfg_N_lo,373.76
TX,lfg_N_vl,373.76
TX,geo_N_1,185.10
TX,geo_N_2,206.80
TX,geo_N_3,201.10
TX,geo_N_4,192.20
TX,geo_N_5,218.80
TX,geo_N_6,0.00
TX,geo_N_7,0.00
TX,geo_N_8,0.00
TX,geo_N_9,0.00
TX,geo_N_10,0.00
TX,wnd_Nonsh_3,28.07
TX,wnd_Nonsh_4,28.07
TX,wnd_Nonsh_5,28.07
TX,wnd_Nonsh_6,28.07
TX,wnd_Nonsh_7,28.07
TX,wnd_Nshal_3,53.33
TX,wnd_Nshal_4,53.33
TX,wnd_Nshal_5,53.33
TX,wnd_Nshal_6,53.33
TX,wnd_Nshal_7,53.33
TX,wnd_Ndeep_3,53.33
TX,wnd_Ndeep_4,53.33
TX,wnd_Ndeep_5,53.33
TX,wnd_Ndeep_6,53.33
TX,wnd_Ndeep_7,53.33
WSC,nuc_X,131.24
WSC,hyd_X,92.69
WSC,geo_X,0.00
WSC,bio_X,249.73
WSC,lfg_X,0.00
WSC,msw_X,3.89
WSC,slr_X,20.69
WSC,wnd_X,47.65
WSC,oth_X,40.02
WSC,ps_X,0.00
WSC,col_N,48.90
WSC,col_Nccs,63.21
WSC,ngcc_N,14.62
WSC,ngcc_Nccs,30.25
WSC,ngtb_N,6.70
WSC,nuc_N,88.75
WSC,bio_N,100.50
WSC,fc_N,5.78
WSC,slrPV_N,16.70
WSC,slrCSP_N,64.00
WSC,col_X1,64.23
WSC,col_X2,89.67
WSC,col_X3,115.46
WSC,col_X1bio,0.00
WSC,col_X2bio,0.00
WSC,col_X3bio,0.00
WSC,col_X1ccs,0.00
WSC,col_X2ccs,0.00
WSC,col_X3ccs,0.00
WSC,ngcc_X1,13.88
WSC,ngcc_X2,0.00
WSC,ngcc_X3,0.00
WSC,ngtb_X1,13.41
WSC,ngtb_X2,11.40
WSC,ngtb_X3,11.44
WSC,stog_X1,0.00
WSC,stog_X2,0.00
WSC,stog_X3,0.00
WSC,lfg_N_hi,373.76
WSC,lfg_N_lo,373.76
WSC,lfg_N_vl,373.76
WSC,geo_N_1,0.00
WSC,geo_N_2,0.00
WSC,geo_N_3,0.00
WSC,geo_N_4,0.00
WSC,geo_N_5,0.00
WSC,geo_N_6,0.00
WSC,geo_N_7,0.00
WSC,geo_N_8,0.00
WSC,geo_N_9,0.00
WSC,geo_N_10,0.00
WSC,wnd_Nonsh_3,28.07
WSC,wnd_Nonsh_4,28.07
WSC,wnd_Nonsh_5,28.07
WSC,wnd_Nonsh_6,28.07
WSC,wnd_Nonsh_7,28.07
WSC,wnd_Nshal_3,53.33
WSC,wnd_Nshal_4,53.33
WSC,wnd_Nshal_5,53.33
WSC,wnd_Nshal_6,53.33
WSC,wnd_Nshal_7,53.33
WSC,wnd_Ndeep_3,53.33
WSC,wnd_Ndeep_4,53.33
WSC,wnd_Ndeep_5,53.33
WSC,wnd_Ndeep_6,53.33
WSC,wnd_Ndeep_7,53.33
MTN,nuc_X,131.24
MTN,hyd_X,92.57
MTN,geo_X,190.95
MTN,bio_X,228.73
MTN,lfg_X,0.00
MTN,msw_X,0.00
MTN,slr_X,21.27
MTN,wnd_X,47.65
MTN,oth_X,13.49
MTN,ps_X,0.00
MTN,col_N,48.90
MTN,col_Nccs,63.21
MTN,ngcc_N,14.62
MTN,ngcc_Nccs,30.25
MTN,ngtb_N,6.70
MTN,nuc_N,88.75
MTN,bio_N,100.50
MTN,fc_N,5.78
MTN,slrPV_N,16.70
MTN,slrCSP_N,64.00
MTN,col_X1,103.03
MTN,col_X2,78.83
MTN,col_X3,74.28
MTN,col_X1bio,0.00
MTN,col_X2bio,0.00
MTN,col_X3bio,0.00
MTN,col_X1ccs,0.00
MTN,col_X2ccs,0.00
MTN,col_X3ccs,0.00
MTN,ngcc_X1,12.97
MTN,ngcc_X2,12.84
MTN,ngcc_X3,0.00
MTN,ngtb_X1,11.40
MTN,ngtb_X2,11.56
MTN,ngtb_X3,15.31
MTN,stog_X1,0.00
MTN,stog_X2,0.00
MTN,stog_X3,0.00
MTN,lfg_N_hi,373.76
MTN,lfg_N_lo,373.76
MTN,lfg_N_vl,373.76
MTN,geo_N_1,184.49
MTN,geo_N_2,201.30
MTN,geo_N_3,190.13
MTN,geo_N_4,182.31
MTN,geo_N_5,181.77
MTN,geo_N_6,185.10
MTN,geo_N_7,183.00
MTN,geo_N_8,218.80
MTN,geo_N_9,185.10
MTN,geo_N_10,185.10
MTN,wnd_Nonsh_3,28.07
MTN,wnd_Nonsh_4,28.07
MTN,wnd_Nonsh_5,28.07
MTN,wnd_Nonsh_6,28.07
MTN,wnd_Nonsh_7,28.07
MTN,wnd_Nshal_3,53.33
MTN,wnd_Nshal_4,53.33
MTN,wnd_Nshal_5,53.33
MTN,wnd_Nshal_6,53.33
MTN,wnd_Nshal_7,53.33
MTN,wnd_Ndeep_3,53.33
MTN,wnd_Ndeep_4,53.33
MTN,wnd_Ndeep_5,53.33
MTN,wnd_Ndeep_6,53.33
MTN,wnd_Ndeep_7,53.33
CA,nuc_X,131.24
CA,hyd_X,92.36
CA,geo_X,155.81
CA,bio_X,136.69
CA,lfg_X,0.00
CA,msw_X,2.85
CA,slr_X,25.85
CA,wnd_X,47.65
CA,oth_X,1.05
CA,ps_X,0.00
CA,col_N,48.90
CA,col_Nccs,63.21
CA,ngcc_N,14.62
CA,ngcc_Nccs,30.25
CA,ngtb_N,6.70
CA,nuc_N,88.75
CA,bio_N,100.50
CA,fc_N,5.78
CA,slrPV_N,16.70
CA,slrCSP_N,64.00
CA,col_X1,78.88
CA,col_X2,0.00
CA,col_X3,74.99
CA,col_X1bio,0.00
CA,col_X2bio,0.00
CA,col_X3bio,0.00
CA,col_X1ccs,0.00
CA,col_X2ccs,0.00
CA,col_X3ccs,0.00
CA,ngcc_X1,13.45
CA,ngcc_X2,13.89
CA,ngcc_X3,17.71
CA,ngtb_X1,11.55
CA,ngtb_X2,11.39
CA,ngtb_X3,14.85
CA,stog_X1,0.00
CA,stog_X2,0.00
CA,stog_X3,0.00
CA,lfg_N_hi,373.76
CA,lfg_N_lo,373.76
CA,lfg_N_vl,373.76
CA,geo_N_1,185.08
CA,geo_N_2,195.60
CA,geo_N_3,205.26
CA,geo_N_4,186.04
CA,geo_N_5,185.24
CA,geo_N_6,185.10
CA,geo_N_7,0.00
CA,geo_N_8,0.00
CA,geo_N_9,0.00
CA,geo_N_10,0.00
CA,wnd_Nonsh_3,28.07
CA,wnd_Nonsh_4,28.07
CA,wnd_Nonsh_5,28.07
CA,wnd_Nonsh_6,28.07
CA,wnd_Nonsh_7,28.07
CA,wnd_Nshal_3,53.33
CA,wnd_Nshal_4,53.33
CA,wnd_Nshal_5,53.33
CA,wnd_Nshal_6,53.33
CA,wnd_Nshal_7,53.33
