region,unit,load_segment,vintage,time,value
NEG,col_X2,sum_mrnevn,2020,2020,0.00
NEG,col_X2,sum_night,2020,2020,0.00
NEG,col_X2,sprfl_day,2020,2020,0.00
NEG,col_X2,sprfl_mrnevn,2020,2020,0.00
NEG,col_X2,sprfl_night,2020,2020,0.00
NEG,col_X2,wntr_day,2020,2020,0.00
NEG,col_X2,wntr_mrnevn,2020,2020,0.00
NEG,col_X2,wntr_night,2020,2020,0.00
NEG,col_X2,peak,2020,2020,0.00
NEG,col_X3,sum_day,2020,2020,0.00
NEG,col_X3,sum_mrnevn,2020,2020,0.00
NEG,col_X3,sum_night,2020,2020,0.00
NEG,col_X3,sprfl_day,2020,2020,0.00
NEG,col_X3,sprfl_mrnevn,2020,2020,0.00
NEG,col_X3,sprfl_night,2020,2020,0.00
NEG,col_X3,wntr_day,2020,2020,0.00
NEG,col_X3,wntr_mrnevn,2020,2020,0.00
NEG,col_X3,wntr_night,2020,2020,0.00
NEG,col_X3,peak,2020,2020,0.00
NEG,col_X1bio,sum_day,2020,2020,0.00
NEG,col_X1bio,sum_mrnevn,2020,2020,0.00
NEG,col_X1bio,sum_night,2020,2020,0.00
NEG,col_X1bio,sprfl_day,2020,2020,0.00
NEG,col_X1bio,sprfl_mrnevn,2020,2020,0.00
NEG,col_X1bio,sprfl_night,2020,2020,0.00
NEG,col_X1bio,wntr_day,2020,2020,0.00
NEG,col_X1bio,wntr_mrnevn,2020,2020,0.00
NEG,col_X1bio,wntr_night,2020,2020,0.00
NEG,col_X1bio,peak,2020,2020,0.00
NEG,col_X2bio,sum_day,2020,2020,0.00
NEG,col_X2bio,sum_mrnevn,2020,2020,0.00
NEG,col_X2bio,sum_night,2020,2020,0.00
NEG,col_X2bio,sprfl_day,2020,2020,0.00
NEG,col_X2bio,sprfl_mrnevn,2020,2020,0.00
NEG,col_X2bio,sprfl_night,2020,2020,0.00
NEG,col_X2bio,wntr_day,2020,2020,0.00
NEG,col_X2bio,wntr_mrnevn,2020,2020,0.00
NEG,col_X2bio,wntr_night,2020,2020,0.00
NEG,col_X2bio,peak,2020,2020,0.00
NEG,col_X3bio,sum_day,2020,2020,0.00
NEG,col_X3bio,sum_mrnevn,2020,2020,0.00
NEG,col_X3bio,sum_night,2020,2020,0.00
NEG,col_X3bio,sprfl_day,2020,2020,0.00
NEG,col_X3bio,sprfl_mrnevn,2020,2020,0.00
NEG,col_X3bio,sprfl_night,2020,2020,0.00
NEG,col_X3bio,wntr_day,2020,2020,0.00
NEG,col_X3bio,wntr_mrnevn,2020,2020,0.00
NEG,col_X3bio,wntr_night,2020,2020,0.00
NEG,col_X3bio,peak,2020,2020,0.00
NEG,col_X1ccs,sum_day,2020,2020,0.00
NEG,col_X1ccs,sum_mrnevn,2020,2020,0.00
NEG,col_X1ccs,sum_night,2020,2020,0.00
NEG,col_X1ccs,sprfl_day,2020,2020,0.00
NEG,col_X1ccs,sprfl_mrnevn,2020,2020,0.00
NEG,col_X1ccs,sprfl_night,2020,2020,0.00
